year;age;sex;population
2014;0;1;43039
2014;0;2;40691
2014;1;1;42934
2014;1;2;40560
2014;2;1;43294
2014;2;2;40603
2014;3;1;42657
2014;3;2;40319
2014;4;1;43014
2014;4;2;41184
2014;5;1;42527
2014;5;2;40110
2014;6;1;42333
2014;6;2;39749
2014;7;1;41301
2014;7;2;39301
2014;8;1;41033
2014;8;2;38774
2014;9;1;40954
2014;9;2;38677
2014;10;1;40620
2014;10;2;39006
2014;11;1;40106
2014;11;2;38264
2014;12;1;40822
2014;12;2;38643
2014;13;1;41072
2014;13;2;38733
2014;14;1;43609
2014;14;2;41052
2014;15;1;43205
2014;15;2;41032
2014;16;1;43950
2014;16;2;41714
2014;17;1;44732
2014;17;2;42396
2014;18;1;46343
2014;18;2;44026
2014;19;1;46748
2014;19;2;44625
2014;20;1;47742
2014;20;2;45560
2014;21;1;48720
2014;21;2;46876
2014;22;1;50983
2014;22;2;49553
2014;23;1;52527
2014;23;2;50811
2014;24;1;53549
2014;24;2;51992
2014;25;1;53859
2014;25;2;52563
2014;26;1;55644
2014;26;2;54479
2014;27;1;55201
2014;27;2;54059
2014;28;1;56536
2014;28;2;55652
2014;29;1;57061
2014;29;2;56390
2014;30;1;58299
2014;30;2;56764
2014;31;1;58165
2014;31;2;56631
2014;32;1;59316
2014;32;2;58304
2014;33;1;59155
2014;33;2;58011
2014;34;1;59671
2014;34;2;58132
2014;35;1;57734
2014;35;2;56912
2014;36;1;57187
2014;36;2;56221
2014;37;1;57233
2014;37;2;56287
2014;38;1;56540
2014;38;2;56289
2014;39;1;56440
2014;39;2;55877
2014;40;1;58048
2014;40;2;56921
2014;41;1;58187
2014;41;2;57440
2014;42;1;60300
2014;42;2;58865
2014;43;1;61875
2014;43;2;61241
2014;44;1;62904
2014;44;2;61979
2014;45;1;64332
2014;45;2;63808
2014;46;1;65942
2014;46;2;65132
2014;47;1;66723
2014;47;2;65625
2014;48;1;68447
2014;48;2;66710
2014;49;1;68911
2014;49;2;66470
2014;50;1;69822
2014;50;2;67563
2014;51;1;67550
2014;51;2;65773
2014;52;1;64959
2014;52;2;63167
2014;53;1;62354
2014;53;2;61258
2014;54;1;60661
2014;54;2;59508
2014;55;1;58627
2014;55;2;57728
2014;56;1;56638
2014;56;2;55197
2014;57;1;55006
2014;57;2;53922
2014;58;1;53462
2014;58;2;51933
2014;59;1;50776
2014;59;2;50174
2014;60;1;48483
2014;60;2;48991
2014;61;1;46369
2014;61;2;47589
2014;62;1;45718
2014;62;2;47072
2014;63;1;43666
2014;63;2;45063
2014;64;1;44564
2014;64;2;45971
2014;65;1;42859
2014;65;2;45223
2014;66;1;42769
2014;66;2;45642
2014;67;1;41939
2014;67;2;44687
2014;68;1;41385
2014;68;2;44477
2014;69;1;39517
2014;69;2;42058
2014;70;1;38191
2014;70;2;41669
2014;71;1;36151
2014;71;2;40252
2014;72;1;34280
2014;72;2;38079
2014;73;1;31074
2014;73;2;35944
2014;74;1;27783
2014;74;2;33303
2014;75;1;26589
2014;75;2;32182
2014;76;1;25103
2014;76;2;30975
2014;77;1;23477
2014;77;2;29447
2014;78;1;22545
2014;78;2;29214
2014;79;1;21590
2014;79;2;28460
2014;80;1;20047
2014;80;2;27341
2014;81;1;18045
2014;81;2;26003
2014;82;1;16921
2014;82;2;24936
2014;83;1;15280
2014;83;2;23457
2014;84;1;13797
2014;84;2;22674
2014;85;1;11961
2014;85;2;20669
2014;86;1;10456
2014;86;2;18827
2014;87;1;8763
2014;87;2;16771
