year;age;sex;population
1860;0;1;32894
1860;0;2;32973
1860;1;1;29682
1860;1;2;29835
1860;2;1;26783
1860;2;2;26995
1860;3;1;25996
1860;3;2;26216
1860;4;1;25232
1860;4;2;25458
1860;5;1;24491
1860;5;2;24723
1860;6;1;23771
1860;6;2;24009
1860;7;1;23073
1860;7;2;23316
1860;8;1;23140
1860;8;2;23353
1860;9;1;23208
1860;9;2;23390
1860;10;1;23276
1860;10;2;23428
1860;11;1;23343
1860;11;2;23465
1860;12;1;23412
1860;12;2;23502
1860;13;1;23588
1860;13;2;23698
1860;14;1;23767
1860;14;2;23894
1860;15;1;23946
1860;15;2;24093
1860;16;1;24127
1860;16;2;24293
1860;17;1;24309
1860;17;2;24495
1860;18;1;23883
1860;18;2;24286
1860;19;1;23463
1860;19;2;24079
1860;20;1;23051
1860;20;2;23874
1860;21;1;22647
1860;21;2;23670
1860;22;1;22249
1860;22;2;23468
1860;23;1;21670
1860;23;2;22857
1860;24;1;21105
1860;24;2;22262
1860;25;1;20556
1860;25;2;21682
1860;26;1;20020
1860;26;2;21118
1860;27;1;19499
1860;27;2;20568
1860;28;1;19356
1860;28;2;20403
1860;29;1;19213
1860;29;2;20239
1860;30;1;19072
1860;30;2;20077
1860;31;1;18932
1860;31;2;19916
1860;32;1;18793
1860;32;2;19756
1860;33;1;18402
1860;33;2;19289
1860;34;1;18019
1860;34;2;18833
1860;35;1;17644
1860;35;2;18388
1860;36;1;17276
1860;36;2;17953
1860;37;1;16917
1860;37;2;17529
1860;38;1;16451
1860;38;2;17083
1860;39;1;15999
1860;39;2;16649
1860;40;1;15558
1860;40;2;16225
1860;41;1;15130
1860;41;2;15813
1860;42;1;14714
1860;42;2;15410
1860;43;1;14432
1860;43;2;15082
1860;44;1;14156
1860;44;2;14761
1860;45;1;13885
1860;45;2;14446
1860;46;1;13619
1860;46;2;14138
1860;47;1;13359
1860;47;2;13837
1860;48;1;13099
1860;48;2;13630
1860;49;1;12844
1860;49;2;13426
1860;50;1;12594
1860;50;2;13225
1860;51;1;12349
1860;51;2;13027
1860;52;1;12108
1860;52;2;12832
1860;53;1;11772
1860;53;2;12442
1860;54;1;11445
1860;54;2;12064
1860;55;1;11127
1860;55;2;11697
1860;56;1;10817
1860;56;2;11341
1860;57;1;10517
1860;57;2;10997
1860;58;1;9997
1860;58;2;10464
1860;59;1;9503
1860;59;2;9958
1860;60;1;9033
1860;60;2;9475
1860;61;1;8586
1860;61;2;9017
1860;62;1;8162
1860;62;2;8580
1860;63;1;7533
1860;63;2;7887
1860;64;1;6953
1860;64;2;7249
1860;65;1;6418
1860;65;2;6664
1860;66;1;5924
1860;66;2;6125
1860;67;1;5467
1860;67;2;5630
1860;68;1;5134
1860;68;2;5295
1860;69;1;4820
1860;69;2;4980
1860;70;1;4526
1860;70;2;4683
1860;71;1;4249
1860;71;2;4404
1860;72;1;3990
1860;72;2;4142
1860;73;1;3493
1860;73;2;3576
1860;74;1;3058
1860;74;2;3088
1860;75;1;2677
1860;75;2;2666
1860;76;1;2343
1860;76;2;2302
1860;77;1;2051
1860;77;2;1987
1860;78;1;1740
1860;78;2;1679
1860;79;1;1476
1860;79;2;1419
1860;80;1;1252
1860;80;2;1199
1860;81;1;1062
1860;81;2;1013
1860;82;1;901
1860;82;2;856
1860;83;1;693
1860;83;2;652
1860;84;1;534
1860;84;2;497
1860;85;1;411
1860;85;2;378
1860;86;1;316
1860;86;2;288
1860;87;1;243
1860;87;2;220
1860;88;1;173
1860;88;2;163
1860;89;1;123
1860;89;2;121
1860;90;1;88
1860;90;2;90
1860;91;1;62
1860;91;2;67
1860;92;1;44
1860;92;2;50
1860;93;1;31
1860;93;2;36
1860;94;1;22
1860;94;2;26
1860;95;1;15
1860;95;2;19
1860;96;1;11
1860;96;2;14
1860;97;1;7
1860;97;2;10
1860;98;1;5
1860;98;2;6
1860;99;1;3
1860;99;2;4
1860;100;1;0
1860;100;2;0
1860;101;1;0
1860;101;2;0
1860;102;1;0
1860;102;2;0
1860;103;1;0
1860;103;2;0
1860;104;1;0
1860;104;2;0
1860;105;1;0
1860;105;2;0
