year;age;sex;population
2016;0;1;44165
2016;0;2;42131
2016;1;1;44848
2016;1;2;42119
2016;2;1;44511
2016;2;2;42101
2016;3;1;43700
2016;3;2;41236
2016;4;1;44080
2016;4;2;41224
2016;5;1;43421
2016;5;2;41013
2016;6;1;43733
2016;6;2;41969
2016;7;1;43408
2016;7;2;40976
2016;8;1;43191
2016;8;2;40550
2016;9;1;42145
2016;9;2;40050
2016;10;1;41845
2016;10;2;39530
2016;11;1;41730
2016;11;2;39419
2016;12;1;41351
2016;12;2;39732
2016;13;1;40807
2016;13;2;38974
2016;14;1;41706
2016;14;2;39326
2016;15;1;42012
2016;15;2;39495
2016;16;1;44882
2016;16;2;41803
2016;17;1;44871
2016;17;2;41832
2016;18;1;46145
2016;18;2;43055
2016;19;1;48068
2016;19;2;44312
2016;20;1;48902
2016;20;2;45973
2016;21;1;49008
2016;21;2;46435
2016;22;1;50224
2016;22;2;47420
2016;23;1;51725
2016;23;2;49232
2016;24;1;54227
2016;24;2;52389
2016;25;1;55889
2016;25;2;53703
2016;26;1;57225
2016;26;2;55460
2016;27;1;57399
2016;27;2;56150
2016;28;1;59167
2016;28;2;57818
2016;29;1;58663
2016;29;2;57107
2016;30;1;59445
2016;30;2;58446
2016;31;1;59688
2016;31;2;58753
2016;32;1;60631
2016;32;2;59140
2016;33;1;60314
2016;33;2;58545
2016;34;1;61212
2016;34;2;59926
2016;35;1;60917
2016;35;2;59542
2016;36;1;61245
2016;36;2;59578
2016;37;1;59124
2016;37;2;58251
2016;38;1;58451
2016;38;2;57442
2016;39;1;58405
2016;39;2;57384
2016;40;1;57673
2016;40;2;57289
2016;41;1;57476
2016;41;2;56852
2016;42;1;58917
2016;42;2;57856
2016;43;1;59049
2016;43;2;58381
2016;44;1;61121
2016;44;2;59616
2016;45;1;62556
2016;45;2;61899
2016;46;1;63479
2016;46;2;62577
2016;47;1;64860
2016;47;2;64340
2016;48;1;66348
2016;48;2;65575
2016;49;1;67031
2016;49;2;66014
2016;50;1;68562
2016;50;2;66876
2016;51;1;68929
2016;51;2;66613
2016;52;1;69756
2016;52;2;67724
2016;53;1;67323
2016;53;2;65639
2016;54;1;64622
2016;54;2;62997
2016;55;1;61928
2016;55;2;61062
2016;56;1;60122
2016;56;2;59191
2016;57;1;57968
2016;57;2;57357
2016;58;1;55875
2016;58;2;54715
2016;59;1;54221
2016;59;2;53373
2016;60;1;52337
2016;60;2;51358
2016;61;1;49468
2016;61;2;49564
2016;62;1;47294
2016;62;2;48285
2016;63;1;45080
2016;63;2;46789
2016;64;1;44352
2016;64;2;46181
2016;65;1;42006
2016;65;2;44139
2016;66;1;42651
2016;66;2;45094
2016;67;1;41457
2016;67;2;44333
2016;68;1;41401
2016;68;2;44805
2016;69;1;40577
2016;69;2;43905
2016;70;1;40011
2016;70;2;43649
2016;71;1;38129
2016;71;2;41251
2016;72;1;36639
2016;72;2;40721
2016;73;1;34707
2016;73;2;39300
2016;74;1;32707
2016;74;2;37126
2016;75;1;29548
2016;75;2;34850
2016;76;1;26195
2016;76;2;32249
2016;77;1;24998
2016;77;2;30968
2016;78;1;23463
2016;78;2;29697
2016;79;1;21821
2016;79;2;28110
2016;80;1;20638
2016;80;2;27657
2016;81;1;19572
2016;81;2;26717
2016;82;1;17882
2016;82;2;25416
2016;83;1;15847
2016;83;2;23978
2016;84;1;14642
2016;84;2;22622
2016;85;1;12951
2016;85;2;20887
2016;86;1;11357
